Approved Symbol	Entrez Gene ID
FAM206A	54942
CACFD1	11094
ADAMTS13	11093
C9orf9	11092
CA1	759
CA10	56934
CA11	770
CA12	771
CA14	23632
CA2	760
CA3	761
CA4	762
CA5~withdrawn	
CA5A	763
CA5B	11238
CA5AP1	764
CA6	765
CA7	766
CA8	767
CA9	768
CABP1	9478
CABP2	51475
CABP4	57010
CACD	
CACNA1A	773
CACNA1B	774
CACNA1C	775
CACNA1D	776
CACNA1E	777
CACNA1F	778
CACNA1G	8913
CACNA1H	8912
CACNA1I	8911
CACNA1S	779
CACNA2~withdrawn	
CACNA2D1	781
CACNA2D2	9254
CACNB1	782
CACNB2	783
CACNB3	784
CACNB4	785
CACNG1	786
CACNG2	10369
CACNG3	10368
CACNG4	27092
CACNG5	27091
CACNL1A1~withdrawn	
CACNL1A2~withdrawn	
CACNL1A3~withdrawn	
CACNL1A4~withdrawn	
CACNL1A5~withdrawn	
CACNL1A6~withdrawn	
CACNL2A~withdrawn	
CACNLB1~withdrawn	
CACNLB2~withdrawn	
CACNLB3~withdrawn	
CACP~withdrawn	
SLC25A20	788
SLC25A20P1	789
CACY~withdrawn	
CAD	790
CADASIL~withdrawn	
CADPS	8618
CAE1~withdrawn	
CAE2~withdrawn	
CAGA~withdrawn	
CAGB~withdrawn	
CAK~withdrawn	
CAL1H~withdrawn	
CAL1L~withdrawn	
CALB1	793
CALB2	794
S100G	795
CALCA	796
CALCB	797
CALCP	798
CALCR	799
CALD1	800
CALM1	801
CALM1P1	802
CALM1P2	804
CALM2	805
CALM2P1	100128390
CALM2P2	806
CALM2P3	807
CALM3	808
CALML1~withdrawn	
CALML2~withdrawn	
CALML3	810
CALNA~withdrawn	
CALNB~withdrawn	
CALR	811
CALS~withdrawn	
CALT~withdrawn	
CALU	813
CAMK1	8536
CAMK2A	815
CAMK2B	816
CAMK2D	817
CAMK2G	818
CAMK4	814
CAMKA~withdrawn	
CAMKB~withdrawn	
CAMKD~withdrawn	
CAMKG~withdrawn	
CAMKK1	84254
CAMKK2	10645
CAMLG	819
CAMP	820
CANX	821
CAPG	822
CAPL~withdrawn	
CAPN1	823
CAPN10	11132
CAPN11	11131
CAPN2	824
CAPN3	825
CAPNS1	826
CAPN5	726
CAPN6	827
CAPN7	23473
CAPN8	388743
CAPN9	10753
CAPS	828
CAPZA1	829
CAPZA1P	53338
CAPZA2	830
CAPZB	832
SHPK	23729
CARS	833
ALX1	8092
CASA~withdrawn	
CASB~withdrawn	
CASK	8573
CASKP1	10029
CASP1	834
