connector	count
BARD1_CDKN1A	1
IL9_SPARC	1
IL12B_TNFSF9	1
CHGA_NCAM1	2
TACSTD2_ZNF707	1
CD86_PDCD1LG2	1
ITGB3_MIF	1
TAS2R3_TAS2R1	1
NTSR1_OXTR	1
PRKCDBP_THEM4	1
TNPO1_CCR2	1
LRP1_HPSE	1
ACVR2B_NCOA3	1
CYP1A1_ERCC5	1
PCBP2_MAPKAP1	1
DAPK3_HIST2H3PS2	1
PTPN11_MVP	1
CBL_NCAM1	1
SUMO1_KHDRBS1	1
ETV5_UBE2I	1
GRIN1_NEFL	1
CREBBP_ITGB3	1
CASP5_TP53	1
APAF1_CSE1L	1
NOTCH3_RGS5	1
AKT1_EZR	1
ARHGEF7_FRMPD4	1
CHRNB1_NEUROD2	1
IL17A_IL23A	14
GABRA2_GABBR2	1
MBIP_ILF2P2	1
TGFB1_KLF11	1
SERPINB5_SELP	1
CENPK_CENPT	1
DICER1_AGO4	3
FTL_PRNP	1
DICER1_AGO3	3
DICER1_AGO2	8
TGFBR3_GIPC1	1
DICER1_AGO1	5
PDE7A_PDE5A	1
FHL2_KDM1A	1
RBL1_NOLC1	1
CENPK_CENPM	1
CENPK_CENPL	1
CSTA_SPRR1A	1
SMARCB1_PBRM1	1
CENPK_CENPO	1
SLC5A6_KLF4	1
SERPINB5_SELE	1
UBA6_UBE2Z	1
CSTA_SPRR1B	1
CENPK_CENPH	2
APLNR_APLN	12
PAIP2_PAIP2B	1
ETV5_MTCH2	2
CEBPA_RELA	1
UMOD_COL22A1	1
HSP90AA1_LCK	1
IGSF1_INHBA	1
IGSF1_INHBB	1
TAF1_BRD4	1
CAPRIN1_TAF15	1
NAT2_CCKBR	1
IL17A_IL23R	2
PTPRC_GANAB	3
GPR125_EMR4P	1
DARC_SEZ6L2	1
RPL34_BECN1	1
CD14_ICAM1	1
HSF1_YWHAZ	1
RELA_SLC22A2	1
HLA-DQB1_IL2RA	2
RELA_SLC22A1	1
VAMP8_STX1B	1
MTOR_PREX1	1
BSND_ALS2	1
HSF1_YWHAE	2
SCN5A_EIF5B	1
VAMP8_STX16	1
FOXC1_GJA1	1
FYN_MAG	1
CREBBP_YY1	1
MTOR_PREX2	1
NPM1_TP53	11
TXNRD3_GPX6	1
CCL8_CCR2	2
EPO_ZAN	1
NR3C1_STUB1	2
RBM4_GNB2L1	1
DSP_PPHLN1	1
GTF2B_REL	1
NOS2_HIF1AN	1
NFYA_SRF	1
MAP3K1_MADD	1
CRK_SH3BP1	1
RGS4_FZD3	1
ANXA2_SRC	2
RFC3_RFC4	12
RFC3_RFC5	13
CD72_FCGR2B	1
ITGB3_SHC1	2
ACTA1_MYO1A	1
PCBP2_PABPC1	1
CYP1A1_CYP2A13	2
DPP4_IL1A	1
SORCS2_SORCS1	1
DPP4_IL1B	2
ATP2B4_CASP3	1
ACTA1_MYO10	1
MMP9_CXCL6	1
MMP9_CXCL5	2
NTRK1_SQSTM1	5
PGA5_PGA3	1
PGA5_PGA4	6
MC4R_PRKACA	1
IL6_PTPN2	1
CLTA_CLTC	6
ATF1_NR3C1	1
CLTA_CLTB	9
ASIC1_STOM	1
LEF1_DACT1	1
TRBV24OR9-2_TRBV26OR9-2	1
ARHGAP26_ARHGAP10	1
PDPK1_NME1-NME2	1
EGFR_CD2AP	1
CD3E_FCER1G	1
PTPRC_SEMA4D	2
EGF_SOS1	1
CCL17_CX3CL1	2
FASLG_BCL2L11	2
ATG12_EPB41L4A-AS1	1
IGFBP3_IGF2-AS	1
JUN_RANGAP1	1
ACTA1_MYO7A	1
GNB1_RAC1	1
AR_IRS1	1
TAC3_TACR1	3
TAC3_TACR3	7
SMAD3_SLC39A6	1
SEZ6L_MIA3	2
BANF1_BCLAF1	1
ABCD3_PEX11B	1
ABCD3_PEX11A	1
IFNB1_IL4	1
MTOR_PPP2R2A	2
IFNB1_IL6	1
CDKN1A_CEBPA	2
MTOR_PPP2R2B	1
NFYA_SP3	1
OLIG1_SCXB	1
OLIG1_SCXA	1
AHR_PPARA	1
FLT3_KDR	1
ACTA1_MYO5A	2
RUNX1_FLT3	5
ASS1_NOX4	1
SP3_SP3P	1
CYBA_VHL	1
NR5A1_POU5F1	1
CGA_CGB	16
ITGB1_MMP9	5
MAPK1_PURA	2
CYB5R2_CYB5R1	1
ITGB1_MMP1	1
ETV4_EWSR1	1
NDFIP1_BEAN1	1
ARRB1_VAMP8	1
MAPK3_NUP62	1
SNRPG_LSM11	1
SNRPG_LSM10	1
GPR158_GPR179	1
TYR_SLC24A5	3
TYR_SLC24A4	1
AKT1_F2R	1
STK11_TNIP2	1
OSM_MAPK3	1
OSM_MAPK1	1
CASP8_NEK10	1
FYN_SOX2	1
CAV1_CSK	2
ELANE_RNASE3	1
ESR1_PIAS3	2
CEBPA_RETN	2
ESR1_PIAS1	2
ESR1_PIAS2	1
GHRH_IGF1	2
THRA_NCOR2	3
THRA_NCOR1	2
BCL2L1_NKAP	1
F5_LPA	1
MCL1_SPHK1	1
DCC_NCK1	1
CDC5L_LMNB1	1
CYP21A2_SULT2A1	1
ALK_NPM1	19
TFF3_VANGL1	1
HLA-DRB9_ARPC2	1
PRKDC_RAD52	2
PRKDC_RAD51	2
AKT1_EPO	1
PRKDC_RAD50	2
SSB_RRP9	1
CASR_TP53	1
PIK3C2B_RASA1	1
CALR_IL2RG	1
APP_LRP1B	1
COL1A2_CRTAP	1
NOTCH3_PBX2P1	1
HTR4_KRT18P51	1
MSX1_PPP1R14C	1
TAF10_SUPT7L	1
PNMT_PPP1R1B	1
NPM1P17_VKORC1	1
FLNC_MAP2K4	1
FLNC_MAP2K2	1
FLNC_MAP2K1	1
CEBPD_RB1	2
RNF213_MEF2B	1
RPA1_CHTF18	1
CEBPB_TGFB1	2
CLDN14_YOD1	1
DCN_DIO1	1
GBF1_IQSEC1	1
CSF1_BAZ1A	1
DCN_DIO2	1
FLT3_KIT	13
MAPK11_TNF	1
ADRB3_CETP	1
RHOH_PIM1	1
FASLG_ICAM1	1
EVL_SEMA6A	1
MTMR2_PRX	1
CASP3_RABEP1	1
DFNA5_ZFP91	1
CCBL1_ST6GALNAC4	1
NUMB_ITCH	3
POLR3K_WASH4P	1
ABCG2_SLC16A9	2
RELA_IKBKAP	1
FAS_EGR3	1
FAS_EGR2	1
FOXO3_YWHAZ	3
FAS_EGR1	1
FOXO3_YWHAQ	2
LCK_UNC119	2
TP53_EEA1	1
IRAK1_RIPK1	1
IRAK1_RIPK2	1
FOXO3_YWHAE	1
FOXO3_YWHAG	1
FOXO3_YWHAH	1
COL17A1_EGF	1
KPNB1_SPOCK2	1
MTX1_IMMT	1
MAPK8_DUSP10	2
CLEC4A_TLR8	1
GYPA_HLA-DQA1	3
RAC1_VEGFA	2
MAPK8_DUSP16	1
FCGR3A_SHC1	1
LMO2_ELSPBP1	1
CX3CL1_SELP	1
DNMT1_SETD7	1
FOXC1_PITX2	9
EIF2S1_HIST1H1B	1
IKBKB_CNTN2	1
OPRD1_HTR3B	1
PPP3CC_PPP3R1	5
PTPN6_CD84	1
PPP3CC_PPP3R2	1
MAPK8_DUSP22	2
RAF1_SIAH1	1
REST_GJD2	1
ACTA2_IL1B	1
CYP2E1_MLH1	1
MAPK8_DUSP26	1
HNRNPK_PRKCD	2
BUB1B_PTTG1	2
CACNA1A_KLHL1	1
SLC25A10_DCTN1	1
RAF1_SIAH2	1
SLC25A10_DCTN2	1
GXYLT1_GXYLT2	1
ID1_HES5	1
ATP5L_ECHDC2	1
